Date of Issue,Subject,Brief Description,url,
,Master Direction -Export of Goods and Services,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,
,,,,
2015,,,,
,,,,
29-12-2015,Post Office (Postal Orders/Money Orders) ,"any person may buy from any Post Office, in accordance with any law or rules made thereunder for the time being in force, any foreign exchange in the form of postal orders or money orders. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA18R5163969D37B8416E84625B9BB8322A82.PDF,
,"Definition of ""currency""","Reserve Bank notifies debit cards, ATM cards or any other instrument by whatever name called that can be used to create a financial liability, as ‘currency’. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA15RA0B6A39BCF254FCBBFCCEB9FA82B90C4.PDF,
,"Foreign Exchange Management (Insurance) Regulations, 2015",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA12R298E44055CE44CD698BCE34D67F336D1.PDF,
,"Foreign Exchange Management (Possession and Retention of Foreign Currency) Regulations, 2015",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA11RE2BA90113B9A41679D15800C3838BEF3.PDF,
,"Foreign Exchange Management(Realisation, repatriation and surrender of foreign exchange)Regulations, 2015",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA9R4360B80096EE47EFBD65CF9C4B526021.PDF,
,"Foreign Exchange Management (Export and import of currency) Regulations, 2015",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FM6R4D8778085BCA47BC959C2D16CC2479B8.PDF,
17-12-2015,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Thirteenth Amendment) Regulations, 2015 ",Amendment to Schedule 5 with respect to security receipts.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI360EE1B91881FD64A2BA4DDEE2F94F41AC5.PDF,
10-12-2015,Guidelines on trading of Currency Futures and Exchange Traded Currency Options in Recognized Stock Exchanges-Introduction of Cross-Currency Futures and Exchange Traded Option Contracts,"Permits the recognized stock exchanges to offer cross-currency futures contracts and exchange tradedoption contracts in the currency pairs of EUR-USD, GBP-USD and USD-JPY. Recognised stock exchanges are also permitted to offer exchange traded currency option contracts in EUR-INR, GBP-INRand JPY-INR in addition to the existing USD-INR option contract, with immediate effect.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDBCDEC1B7F4A4487095CC9900E2B2791A.PDF,
07-12-2015,"Foreign Exchange Management (Manner of Receipt and Payment) (Amendment) Regulations, 2015","Regulation 5 of the Regulations amended to include sub-regulation (2)(c) being ""Any other mode of payment in accordance with the directions issued by the Reserve Bank of India to authorised dealers from time to time.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT35709105E35FF5344DA9BCE5AFBACC4C200.PDF,
02-12-2015,"Foreign Exchange Management (Borrowing or Lending in Foreign Exchange)(Amendment) Regulations, 2015",Schedule I and Schedule II amended with respect to provisos to the existing regulations.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT358B688ABD5FB624C4799C736E98CF01EBC.PDF,
,"Foreign Exchange Management (Transfer or Issue of Any Foreign Security) (Amendment) Regulations, 2015",Regulation 21(2)(ii) and (iii) amended with respect to provisos for issuance of FCCBs and FCEBs.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/359NO041215EDD259D244004D1B8E1D4D6D13FBEDB9.PDF,
30-11-2015,External Commercial Borrowings (ECB) Policy - Revised framework,"Liberal approach adopted, Tracks I, II and III  adopted for ECBs, entities raising ECBs permitted to raise the said loans by March 31, 2016 provided the agreement in respect of the loan is already signed by the date the new framework comes into effect.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/A320084163A24434DB5905EEB3F3296EBEC.PDF,
26-11-2015,Investment by Foreign Portfolio Investors (FPI) in Corporate Bonds,"FPIs permitted to  to  acquire  NCDs/bonds, which  are  under default, either fully or partly, in the repayment of principal on maturity or principal  installment  in  the  case  of  amortising  bond. The revised maturity  period of such NCDs/bonds, restructured  based  on  negotiations  with  the  issuing Indian  company, should be three years or more. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/253CFPI5DFF94350DD64AD4B7C128BCF6F7E08D.PDF,
,Advance Remittance for Import of aircrafts /helicopters / other aviation related purchases,"Approval from MoCA not required for allowing advance remittance without bank guarantee or an unconditional, irrevocable stand by letter of credit up to USD 50 million once approval of DGCA for import of aircrafts/helicopters in terms of the Foreign Trade Policy has been obtained by a company for operating Scheduled or Non-Scheduled Air Transport Services (including Air Taxi Services).",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/249APB4643F60014E487F9FA98E0906FF1589.PDF,
,Import of Goods into India - Evidence of Import,"Bill of Entry issued by customs Authorities named as Ex-Bond Bill of Entry or by any other similar nomenclature, may be used as evidence for physical import of goods.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/248AP6B4FA5CF15164D9BA187B864E54E5A13.PDF,
16-11-2015,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Eleventh Amendment) Regulations, 2015","Regulation 2, 5, 9 and 12 amended and Schedule 11 added to the Regulations with respect to investments in an Investment Vehicles",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT35545E09E76D76D41CB9C096814B9C87E6A.PDF,
,"Foreign Exchange Management (Permissible Capital AccountTransactions) (Fourth Amendment) Regulations, 2015 ","""Real estate business"" not to include development  of  townships,  construction  of  residential  /commercial  premises,  roads or  bridges  and  Real  Estate  Investment  Trusts  (REITs)  registered  and  regulated under the SEBI (REITs) Regulations 2014",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT345D89158A7D9E44294844B465069306137.PDF,
05-11-2015,Risk Management & Inter-Bank Dealings: Relaxation of facilities for residents for hedging of foreign currency borrowings,Residents having a long term foreign currency liability permitted   to  enter  in to  FCY-INR  swaps  with  Multilateral  or International Financial Institutions (MFI/IFI) in which Government of India is a shareholding member subject to certain terms and conditions,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N232FE346821AAB6489BB2416D1B9F5414B6.PDF,
,Software Export -Filing of bulk SOFTEX-further liberalisation,"All software exporters permitted to declare  all  the  off-site  software exports in  bulk  in  the  form  of  a statement  in  excel  format, to  the competent  authority  for  certification on monthly basis.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/A231724F433FC5F3436580E7AF1D2440E1B2.PDF,
,Switching from Barter Trade to Normal Trade at the Indo-Myanmar Border,Barter system done away with at the Indo-Myanmar border.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/A23021FB99F991A54109B866120459451E63.PDF,
30-10-2015,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Tenth Amendment) Regulations, 2015 ","Amendment made to Regulation 14, Schedule 1 and foreign investment caps and entry routes in various sectors.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N354038F78D787024D098442BF66A57F111A.PDF,
29-10-2015,Subscription to National Pension System by Non-Resident Indians (NRIs),"National Pension System (NPS) enabled as an investment option for NRIs under FEMA, 1999. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N21665A6B29E5DC64B72929B34DE1042174A.PDF,
,No fresh permission/ renewal of permission to LOs of foreign law firms- Supreme Court’s directions,RBI directed by Supreme Court not to grant permission to foreign law firms to open Liaison Offices(LO) in India.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N215E86D7F3C1210426BAB4098428B1E3531.PDF,
21-10-2015,Annual Return on Foreign Liabilities and Assets (FLA Return) -Reporting by Limited Liability Partnerships,LLPs directed to submit the Foreign Liabilities and Assets (FLA) Returns to the RBI by July 15 every year.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N21087350A25FE6345379E5159E8F83FA6B5.PDF,
08-10-2015,Memorandum of Procedure for channeling transactionsthrough Asian Clearing Union (ACU),Use of Nostro accounts of commercial banks of ACU member countries permitted for settling the  payments  of  both  exports  and  imports  of  goods  and  services  among the ACU countries. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT203614850CC924B4D5B970CE42234B6894E.PDF,
,Risk Management & Inter-Bank Dealings: Booking of Forward Contracts -Liberalisation,"All resident individuals, firms and companies, who have actual or anticipated foreign exchange exposures, allowed to book foreign exchange forward and FCY-INR options contracts up to USD 1,000,000 (USD one million) without any requirement of documentation on the basis of a simple declaration. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT201F5890B99AF314F0A92210858DC817279.PDF,
06-10-2015,Investment by Foreign Portfolio Investors (FPI) in Government Securities,Limits for investment by FPIs in G-secs increased. Further the  security-wise  limit  for  FPI  investments  to  be  monitored  on  a  day-end basis  and  those  Central  Government  securities  in  which  aggregate investment by  FPIs  exceeds the  prescribed  threshold  of  20%  will  be  put  in a  negative  investment  list. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FP92CFEDEED4B24242B65E44C749A4CA87.PDF,
30-09-2015,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (NinthAmendment) Regulations, 2015",Amendments to Schedule 5 with respect to subscription by NRIs of National Pention Systems.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT353064C9A2A5EEC416C8CE134633B88ACEC.PDF,
,"Regularisation of assets held abroad by a person resident in India under Foreign Exchange Management Act, 1999","Clarification to the Foreign  Exchange  Management  (Regularization  of assets held  abroad  by  a  person  resident  in  India)  Regulations,  2015. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AD18D46D371CA7874C8788FF336762E41F4B.PDF,
29-09-2015,External Commercial Borrowings (ECB) Policy - Issuance of Rupee denominated bonds overseas,Contains framework for issuance of Rupee denominated bonds overseas within the overarching ECB policy,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR17F3216FECE3F0441C8E1107F5E2BA1927.PDF,
25-09-2015,"Foreign Exchange Management (Regularization of assets held abroad by a person resident in India) Regulations, 2015","Regarding regularisation of undisclosed assets once disclosed under the Black Money Foreign  Exchange  Management  (Regularization  of  assets  held  abroad  by  a  person resident in India) Regulations, 2015.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N348C1A8A6BE974140679E9A7DC9B9B3F303.PDF,
24-09-2015,Processing and settlement of import and export related payments facilitated by Online Payment Gateway Service Providers,"Permit AD Category I banks to offer facilityof payment for imports by entering into standing arrangements with the Online Payment Gateway Service Providers (OPGSPs).
 ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/A1636C5639BB6044DC08858EA3B0AE670FA.PDF,
,Opening of foreign currency accounts in India by ship-manning / crew-management agencies ,Contains guidelines on operation of foreign  currency  accounts  opened  with AD  Category-I  banks by foreign  shipping  or  airline  companies  or  their  agents  in  India,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/A15FF76E888AF3D40A7A29418B25FEB4464.PDF,
10-09-2015,Trade Credit Policy - Rupee (INR) Denominated trade credit,Resident importers permitted to raise trade credit in INR within the prescribed framework.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT1757A865F89D7EC4F6B9ECC7B23F475A849.PDF,
,Guidelines for Grant of Authorisation for Additional Branches of FFMC/AD Cat. II,Contains revised guidelines in respect of submission of documents by the applicant FFMC/AD Cat. II while applying for authorization for  an  additional  branch.  ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT1748F7F5B0101774AEF966139ADB681DDCB.PDF,
,Exchange Earners’ Foreign Currency (EEFC) Account- Discontinuation of Statement pertaining to trade related loans and advances ,Statement pertaining to trade related loans and advances dispensed with.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT1735CE7EA922B814AF9B738082C1349D99F.PDF,
21-08-2015,Foreign Direct Investment - Reporting under FDI Scheme on the e-Biz platform,"Regarding nline  filing  of  the  Foreign Currency Transfer of Shares (FCTRS) returns for reporting transfer of shares,  convertible  debentures,  partly  paid  shares  and  warrants  from  a person resident in India to a person resident outside India or vice versa",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP9272E25DB58A049F6BE0FCDB44658579B.PDF,
24-07-2015,"Foreign Exchange Management (Export of Goods & Services)(Second Amendment) Regulations, 2015",Deleted Regulation 4(h) [4(h): Exemptions - Export of goods or services may be made without furnishing the declaration for goods not exceeding U.S.$ 1000 or its equivalent in value per transaction exported to Myanmar under the Barter Trade Agreement between the Central Government and the Government of Myanmar,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NTF3476EEA8DC3708742A79ADB3BDEF8D64498.PDF
16-07-2015,Foreign Investment in India by Foreign Portfolio Investors ,"Clarification that restriction on investments with less  than three  years residual  maturity  shall  not  be  applicable  to  investment  by  FPIs  in Srs issued by ARCs. However, investment in SRs shall be within the overall limit prescribed for corporate debt from time to time.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/131A63BEA9FB207FE4C9AA1DCDA2E17650702.PDF,
,Export factoring on non-recourse basis,AD banks permitted to factor export receivables on a non-recourse basisso as to enable exporters to improve their cash flow and meet working capital requirements subject to conditions mentioned therein.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/129A5F6E8A518409A4F9B9C235A308C4FA854.PDF,
